original_prompt,template,optimized_prompt
how does a catalytic converter work,accurate,"<thinking>Requires explanation of reduction/oxidation catalysts, chemical reactions converting NOx, CO, and unburnt hydrocarbons to harmless gases.</thinking> <output><role>Chemical Engineer</role><task>Explain the chemical reactions within a catalytic converter.</task><instructions>1. Describe the structure (ceramic honeycomb coated with platinum/palladium/rhodium). 2. Explain the reduction catalyst phase (reducing NOx). 3. Explain the oxidation catalyst phase (oxidizing CO and hydrocarbons). 4. State the balance chemical equations for these transformations.</instructions><output_format>Technical engineering note with chemical equations.</output_format><constraints>All chemical equations must be balanced and accurate.</constraints></output>"
explain blockchain consensus,accurate,"<thinking>Explain PoW vs PoS. Must detail cryptographic hashing, difficulty adjustment, stake locking, slashing, and the Byzantine Generals Problem context.</thinking> <output><role>Cryptographic Protocol Researcher</role><task>Explain consensus mechanisms in blockchain networks.</task><instructions>1. Define the Byzantine Generals Problem in distributed computing. 2. Explain Proof of Work (mining, hash puzzles, energy usage). 3. Explain Proof of Stake (validators, collateral, slashing). 4. Compare their security assumptions and throughput limits.</instructions><output_format>Distributed systems comparative study.</output_format><constraints>Do not promote specific tokens. Keep the analysis strictly technical and architectural.</constraints></output>"
what is a black hole event horizon,accurate,"<thinking>Explain general relativity concept. Escape velocity exceeding speed of light, Schwarzschild radius calculation, time dilation effects.</thinking> <output><role>Astrophysicist</role><task>Explain the event horizon of a Schwarzschild black hole.</task><instructions>1. Define the event horizon in terms of space-time curvature and escape velocity. 2. Explain the Schwarzschild radius and how it is calculated from mass. 3. Describe the experience of an observer crossing the horizon vs an outside observer (gravitational time dilation). 4. Avoid sci-fi speculation.</instructions><output_format>Relativistic physics report.</output_format><constraints>Stay within general relativity framework. Clearly separate verified theory from quantum gravity hypotheses.</constraints></output>"
how does standard deviation work,accurate,"<thinking>Mathematical/statistical concept. Explain calculation steps (mean, deviations, squaring, mean of deviations, square root), variance connection, and standard distribution interpretation.</thinking> <output><role>Statistician</role><task>Explain the mathematical definition and calculation of standard deviation.</task><instructions>1. State the formula for both population and sample standard deviation, explaining the Bessel correction (n-1). 2. Break down the calculation into step-by-step algebra. 3. Explain what the value represents regarding data dispersion and the empirical rule (68-95-99.7).</instructions><output_format>Mathematical lesson with step-by-step calculation example.</output_format><constraints>Ensure mathematical formulas are formatted clearly (markdown or LaTeX).</constraints></output>"
explain the water cycle steps,accurate,"<thinking>Hydrological cycle. Need correct scientific terms: evaporation, transpiration, condensation, precipitation, infiltration, runoff, and groundwater storage.</thinking> <output><role>Hydrologist</role><task>Explain the earth's hydrological cycle.</task><instructions>1. Explain the driving force of the cycle (solar radiation, gravity). 2. Detail the primary phases: evaporation/transpiration, condensation, precipitation, and collection/infiltration. 3. Discuss the global mass balance of water conservation.</instructions><output_format>Earth science review.</output_format><constraints>Do not write for children. Use proper geological and environmental terms.</constraints></output>"
what is the gold standard,accurate,"<thinking>Economic history. Explain how gold exchange standard worked, fixed exchange rates, balance of payments adjustment, and transition to fiat currency.</thinking> <output><role>Financial Historian</role><task>Explain the mechanics and historical collapse of the Gold Standard.</task><instructions>1. Define the gold standard and the price-specie flow mechanism. 2. Explain how exchange rates were stabilized. 3. Detail the systemic vulnerabilities that led to its abandonment in the 20th century. 4. Compare it to the current fiat system.</instructions><output_format>Economic history briefing.</output_format><constraints>Ensure historical dates (e.g., Nixon shock, Bretton Woods) are accurate.</constraints></output>"
difference between DNA and RNA,accurate,"<thinking>Genetics. Structural differences (double helix vs single strand, deoxyribose vs ribose, thymine vs uracil) and functional differences (information storage vs coding/catalysis).</thinking> <output><role>Molecular Biologist</role><task>Compare DNA and RNA structurally and functionally.</task><instructions>1. Analyze sugar-phosphate backbone differences. 2. Compare nitrogenous bases. 3. Discuss stability differences and physical structure. 4. Detail their distinct cellular roles in transcription, translation, and replication.</instructions><output_format>Genetics comparison report with a detailed table.</output_format><constraints>Maintain strict biochemical naming conventions.</constraints></output>"
how do optical fibers transmit data,accurate,"<thinking>Physics of wave propagation. Total internal reflection, cladding vs core refractive indexes, dispersion, and signal degradation.</thinking> <output><role>Telecommunications Engineer</role><task>Explain data transmission through fiber optic cables.</task><instructions>1. Explain the physics principle of Total Internal Reflection. 2. Detail the difference in refractive index between the core and cladding. 3. Discuss modes of propagation (single-mode vs multi-mode). 4. Explain causes of attenuation and dispersion.</instructions><output_format>Physics of engineering report.</output_format><constraints>Do not omit the mathematical relationship of refractive index (Snell's Law).</constraints></output>"
explain the role of the pancreas,accurate,"<thinking>Human anatomy and physiology. Dual gland role: endocrine (insulin, glucagon from islets of Langerhans) and exocrine (digestive enzymes via pancreatic duct).</thinking> <output><role>Physiologist & Endocrinologist</role><task>Explain the exocrine and endocrine functions of the pancreas.</task><instructions>1. Detail the exocrine role (production of amylase, lipase, proteases, bicarbonate). 2. Detail the endocrine role (insulin, glucagon, somatostatin secretion). 3. Explain how these feedback loops maintain blood glucose homeostasis.</instructions><output_format>Medical physiology summary.</output_format><constraints>Use precise anatomical names (e.g., acinar cells, beta cells).</constraints></output>"
what is the butterfly effect,accurate,"<thinking>Chaos theory concept. Sensitive dependence on initial conditions in non-linear dynamical systems, Lorenz attractor history, predictability limits.</thinking> <output><role>Applied Mathematician</role><task>Explain the mathematical concept of Chaos Theory and the Butterfly Effect.</task><instructions>1. Define sensitive dependence on initial conditions. 2. Explain why non-linear differential equations are deterministic yet unpredictable. 3. Reference Edward Lorenz's weather prediction models. 4. Explain the difference between chaos and randomness.</instructions><output_format>Chaos theory primer.</output_format><constraints>Avoid treating it as a literal claim about butterflies. Explain the mathematics of error amplification.</constraints></output>"
how do vaccines work,accurate,"<thinking>Immunology. Antigen introduction, APC activation, T-cell helper interaction, B-cell antibody production, memory cell creation. Compare types (mRNA, viral vector, inactivated).</thinking> <output><role>Immunologist</role><task>Explain the physiological mechanism of vaccine-induced immunity.</task><instructions>1. Describe the primary immune response to an introduced antigen. 2. Explain how antigen-presenting cells trigger T and B lymphocytes. 3. Detail the generation of memory B and T cells. 4. Compare mechanisms of mRNA vaccines with traditional subunit/inactivated vaccines.</instructions><output_format>Immunology briefing with step-by-step biological processes.</output_format><constraints>Ensure medical terminology is accurate. Do not oversimplify cellular interactions.</constraints></output>"
explain tectonic plate boundaries,accurate,"<thinking>Geology. Convergent, divergent, transform boundaries. Associated geological formations (trenches, ridges, faults) and seismic activity.</thinking> <output><role>Geophysicist</role><task>Classify and explain the three types of tectonic plate boundaries.</task><instructions>1. Describe Divergent boundaries (seafloor spreading, rifts). 2. Describe Convergent boundaries (subduction zones, mountain building). 3. Describe Transform boundaries (strike-slip faults). 4. Associate specific geographical examples (e.g., Mid-Atlantic Ridge, San Andreas Fault) with each.</instructions><output_format>Geological classification framework.</output_format><constraints>Use correct geophysical terminology (lithosphere, asthenosphere, subduction).</constraints></output>"
what is absolute zero,accurate,"<thinking>Thermodynamics. Limit of classical thermodynamic system, zero kinetic energy, Kelvin scale definition, quantum ground state zero-point energy.</thinking> <output><role>Thermodynamics Physicist</role><task>Define and explain the physical limits of Absolute Zero.</task><instructions>1. State the value in Celsius and Kelvin. 2. Explain it classically as the minimization of translational kinetic energy. 3. Explain it via quantum mechanics (zero-point energy cannot be removed due to uncertainty principle). 4. Reference the third law of thermodynamics.</instructions><output_format>Physics lesson outline.</output_format><constraints>Do not claim that atoms stop moving entirely; explain the quantum zero-point energy restriction.</constraints></output>"
explain inflation vs deflation,accurate,"<thinking>Macroeconomics. Purchasing power effects, velocity of money, central bank policy tools, debt implications, deflationary spiral mechanism.</thinking> <output><role>Monetary Economist</role><task>Analyze the macroeconomic trade-offs between inflation and deflation.</task><instructions>1. Define both terms in relation to purchasing power. 2. Explain the mechanisms of a deflationary spiral (deferred consumption, rising real debt values). 3. Explain why central banks target a low positive inflation rate (e.g., 2%). 4. Compare policy tools used to combat both states.</instructions><output_format>Comparative economic report with a policy matrix.</output_format><constraints>Maintain policy-neutral analysis. Base arguments on empirical central bank theory.</constraints></output>"
how does an airplane wing create lift,accurate,"<thinking>Fluid dynamics. Newton's third law (action-reaction, air deflection) combined with Bernoulli's principle (pressure differences). Avoid the common 'equal transit time' fallacy.</thinking> <output><role>Aerodynamicist</role><task>Explain the physics of aerodynamic lift generation.</task><instructions>1. Address the 'equal transit time' fallacy and correct it. 2. Explain Bernoulli's principle in relation to flow velocity and pressure differences. 3. Explain Newton's third law (downwash, momentum conservation). 4. Discuss the integration of pressure distribution and deflection.</instructions><output_format>Aerodynamic reference sheet.</output_format><constraints>Do not use the equal transit time explanation under any circumstances. It is physically incorrect.</constraints></output>"
what is the greenhouse effect,accurate,"<thinking>Atmospheric physics. Absorption of solar radiation (UV/visible) by Earth, re-emission as infrared radiation, absorption and re-radiation by greenhouse gas molecules.</thinking> <output><role>Climate Scientist</role><task>Explain the physics of the greenhouse effect.</task><instructions>1. Differentiate incoming solar radiation wavelengths from outgoing earth radiation. 2. Explain the molecular absorption properties of CO2, CH4, and H2O (rotational/vibrational energy states). 3. Describe radiative forcing and thermal equilibrium. 4. Keep explanations grounded in thermodynamics.</instructions><output_format>Atmospheric physics paper structure.</output_format><constraints>Maintain thermodynamic rigor. Focus on radiative balance physics.</constraints></output>"
generate user persona,custom,"<thinking>User personas require specific formatting: demographics, goals, frustrations, tech stack, and a quote. I need to output structured XML templates for product designers.</thinking> <output><role>Lead UX Researcher</role><context>Designing a mobile B2B project management app for remote construction supervisors.</context><task>Create a comprehensive user persona.</task><instructions>1. Provide a realistic name, job title, and demographic profile. 2. Outline their daily workflow. 3. Define 3 primary goals and 3 key frustrations. 4. Detail their technology preferences and environment. 5. Include a representative quote summing up their challenge.</instructions><output_format>UX design template with sections: Profile, Quote, Goals, Pain Points, Tech Affinity.</output_format><constraints>Ensure the persona represents a realistic construction workspace, not a general office worker.</constraints></output>"
create api error response schema,custom,"<thinking>API error design needs standardization: RFC 7807 problem details is the modern standard. Build a template that enforces this structure.</thinking> <output><role>API Platform Architect</role><task>Design a standardized JSON error response schema.</task><instructions>1. Use RFC 7807 (Problem Details for HTTP APIs) structure. 2. Include fields: type, title, status, detail, instance, and an optional invalid_params list for validation errors. 3. Provide a JSON example for a validation error (HTTP 400) and an authorization error (HTTP 401).</instructions><output_format>Schema description followed by JSON code blocks.</output_format><constraints>All JSON payloads must validate against RFC 7807 schema rules.</constraints></output>"
draft feature release email,custom,"<thinking>Product announcement emails need a specific narrative arc: value prop, the feature, how it works, and a CTA, with clear email header metadata.</thinking> <output><role>Product Marketing Manager</role><context>Launching a new AI-powered document summarizer feature for an enterprise SaaS.</context><task>Draft the feature announcement email.</task><instructions>1. Provide Subject Line and Preview Text. 2. Structure the body: The Problem (document fatigue), The Solution (AI summarizer), Core Benefits, and a clear Call to Action (CTA). 3. Maintain an exciting yet professional B2B tone.</instructions><output_format>Email template layout with placeholder tags.</output_format><constraints>Do not exceed 300 words. Keep paragraphs under 3 sentences for readability.</constraints></output>"
write interview questions for product manager,custom,"<thinking>Product manager interviews evaluate multiple axes: execution, product sense, leadership, and technical collaboration. Create a structured evaluation rubric.</thinking> <output><role>VP of Product</role><task>Draft a structured interview question list for Senior PM candidates.</task><instructions>1. Organize questions by axis: Execution, Product Sense, Leadership. 2. Provide 2 questions per axis. 3. For each question, explain what a strong response looks like (evaluation rubric).</instructions><output_format>Interview guide with questions and evaluation guidelines.</output_format><constraints>Focus on behavior-based questions. Avoid generic puzzle questions.</constraints></output>"
generate code review checklist,custom,"<thinking>Code review checklists must be actionable and organized by priority (security, correctness, performance) rather than stylistic preferences that should be handled by linting.</thinking> <output><role>Engineering Manager</role><task>Create a team code review checklist.</task><instructions>1. Categorize checks into: Security (SQLi, auth), Correctness (edge cases, state), and Maintainability (naming, duplication). 2. Exclude checks that can be automated via linters. 3. Format as a markdown list with brief explanations of the risk for each point.</instructions><output_format>Markdown checklist.</output_format><constraints>Limit checklist to 10 high-impact items. Keep items objective.</constraints></output>"
create bug report template,custom,"<thinking>A high-quality bug report template contains specific markdown fields to ensure developers have reproduction steps, environment details, and logs.</thinking> <output><role>QA Lead</role><task>Design a GitHub issue template for reporting bugs.</task><instructions>Include sections for: Summary, Steps to Reproduce, Expected vs Actual Behavior, Environment (OS, browser, version), Logs/Screenshots placeholders, and Severity estimation.</instructions><output_format>GitHub Markdown issue template (raw markdown block).</output_format><constraints>Ensure fields force users to provide reproducible steps rather than vague descriptions.</constraints></output>"
write standard operating procedure for deployment,custom,"<thinking>An SOP for deployment needs chronological steps, pre-flight checks, rollback criteria, and communication channels.</thinking> <output><role>DevOps Lead</role><context>Deploying a microservice update to Kubernetes staging/production environments.</context><task>Write a Standard Operating Procedure (SOP) document.</task><instructions>1. Outline pre-deployment checklist (build validation, database migration backup). 2. Define the exact step-by-step deployment commands. 3. Define metrics to monitor post-deployment (error rates, latency). 4. State the explicit rollback trigger criteria and rollback execution steps.</instructions><output_format>Standard Technical SOP layout with numbered steps.</output_format><constraints>Do not gloss over the rollback procedure; it must be as detailed as the deploy procedure.</constraints></output>"
draft privacy policy clause for cookies,custom,"<thinking>Cookie consent clauses must comply with GDPR and CCPA, detailing what is collected, why, and how user can opt out.</thinking> <output><role>Legal Counsel (Data Privacy Specialist)</role><task>Draft a website cookie policy clause.</task><instructions>1. Explain the use of cookies (essential, analytical, marketing). 2. Explain how third-party cookies are managed. 3. Detail the opt-out/consent management process. 4. Maintain formal, legally-binding prose.</instructions><output_format>Legal policy document section.</output_format><constraints>Must comply with GDPR Article 7 requirements for active consent explanation.</constraints></output>"
create a weekly team sync agenda,custom,"<thinking>Team sync agendas should prevent long updates and prioritize unblocking team members and mapping sprint progress. Timeboxing is critical.</thinking> <output><role>Agile Scrum Master</role><context>A distributed team of 8 software engineers running 2-week sprints.</context><task>Draft a 30-minute weekly sync agenda.</task><instructions>1. Timebox every segment (e.g., Wins: 5m, Blockers: 15m, Backlog Refinement: 10m). 2. Provide guidelines for meeting preparation. 3. Outline rules for keeping the meeting concise (e.g., take deep dives offline).</instructions><output_format>Meeting agenda template with time allocations.</output_format><constraints>Total time must equal exactly 30 minutes. Focus on blocker resolution.</constraints></output>"
write post-mortem incident report outline,custom,"<thinking>Incident post-mortems require a blame-free analysis focusing on timeline, root cause, detection, and action items to prevent recurrence.</thinking> <output><role>Site Reliability Engineer (SRE)</role><task>Design a Blameless Post-Mortem incident report template.</task><instructions>Include sections for: Incident Metadata (severity, owners, timing), Timeline (detection to recovery), Root Cause Analysis (using 5 Whys), Impact summary (users affected, database downtime), and Action Items (preventative work categorized by priority).</instructions><output_format>Markdown template with placeholder instructions.</output_format><constraints>Enforce a blameless tone. The document must focus on systemic faults, not human errors.</constraints></output>"
generate user story with acceptance criteria,custom,"<thinking>User stories need the standard Connextra format (As a, I want, So that) and Gherkin syntax (Given, When, Then) for acceptance criteria.</thinking> <output><role>Technical Product Owner</role><context>Adding a 'save search query' feature for an e-commerce platform.</context><task>Draft a user story with detailed acceptance criteria.</task><instructions>1. Write the core user story in As/I/So format. 2. Write 3 acceptance scenarios using Gherkin syntax (Given/When/Then) covering: happy path, query limit reached, and deleting a saved query.</instructions><output_format>Product backlog item format.</output_format><constraints>Acceptance criteria must be deterministic and testable.</constraints></output>"
write cold email template for sales,custom,"<thinking>Cold emails need personalization, low friction, a clear value proposition, and a low-commitment call to action.</thinking> <output><role>B2B Sales Copywriter</role><context>Targeting CTOs for a serverless performance monitoring tool.</context><task>Draft a cold outreach email.</task><instructions>1. Write 3 alternative attention-grabbing subject lines. 2. Write a short body (under 150 words) establishing the pain point (unpredictable server costs), our solution, and a low-friction CTA (e.g., 'Do you have 5 minutes next Thursday?').</instructions><output_format>Sales template with personalization brackets.</output_format><constraints>No pushy or generic corporate jargon. The focus must be on cost savings and developer experience.</constraints></output>"
create onboarding checklist for developers,custom,"<thinking>Developer onboarding checklists should cover local environment setup, permission provisioning, documentation reading, and early milestones.</thinking> <output><role>Principal Engineer</role><task>Design a 30-day developer onboarding checklist.</task><instructions>1. Divide checklist into: Day 1 (setup & accounts), Week 1 (first PR to staging), and Day 30 (independent feature deployment). 2. Provide links/placeholders for local repository setup guides and architecture docs.</instructions><output_format>Chronological markdown checklist.</output_format><constraints>Make milestones realistic. Prioritize early system understanding over speed of delivery.</constraints></output>"
generate release notes markdown,custom,"<thinking>Release notes should separate new features, bug fixes, and security patches, explaining user value rather than just raw git logs.</thinking> <output><role>Technical Writer</role><context>V2.4.0 release of a database management tool.</context><task>Draft the release notes markdown.</task><instructions>1. Organize by: Features, Improvements, Bug Fixes, and Security. 2. Write a brief description of the benefit for each item. 3. Include a migration notice if there are breaking API changes.</instructions><output_format>Markdown documentation.</output_format><constraints>Do not copy-paste git commits. Translate technical commits to user value.</constraints></output>"
write pull request description template,custom,"<thinking>PR templates should collect changes, testing verification, related issues, and deployment considerations from developers.</thinking> <output><role>Lead Developer</role><task>Design a GitHub pull request template.</task><instructions>Include markdown sections for: Type of change (dropdown/checkbox), Description of changes, How this was tested (unit test coverage, manual steps), Related Jira tickets/Issues, and Deployment notes (migrations, config changes).</instructions><output_format>Pull request description markdown template.</output_format><constraints>Force developers to document their testing process to reduce bugs.</constraints></output>"
create database indexing guidelines,custom,"<thinking>Indexing guidelines need to specify when to use indexes (FKs, search columns) and when to avoid them (high-write tables, low-cardinality columns) to prevent write latency.</thinking> <output><role>Database Administrator</role><task>Create a database indexing guidelines document for software engineers.</task><instructions>1. Define rules for primary key and foreign key indexing. 2. Explain how compound indexes work and the left-prefix rule. 3. Provide anti-patterns (e.g., indexing boolean columns, over-indexing). 4. Format as a technical style guide.</instructions><output_format>Markdown database guidelines.</output_format><constraints>Keep rules general to SQL databases (PostgreSQL/MySQL), highlighting index overhead on writes.</constraints></output>"
draft system architecture review template,custom,"<thinking>System architecture reviews should assess scaling, security, data flow, failure modes, and operational costs.</thinking> <output><role>Solutions Architect</role><task>Design a System Architecture Review (SAR) template.</task><instructions>Create sections for: Executive Summary, System Components & Data Flow, Scalability & Performance Strategy, Security & Compliance, Fault Tolerance & Disaster Recovery, and Cost Estimation.</instructions><output_format>Structured technical architecture template.</output_format><constraints>All sections must guide the writer to identify trade-offs (e.g., latency vs consistency).</constraints></output>"
generate QA test execution report structure,custom,"<thinking>QA execution reports need summary metrics (pass, fail, block rate), links to test runs, list of defects found, and go/no-go recommendation.</thinking> <output><role>QA Manager</role><task>Design a Test Execution Report template.</task><instructions>Include markdown tables for test run statistics, lists for open critical defects, details about test environment, and a clear 'Release Readiness' recommendation section.</instructions><output_format>QA reporting template with mock data illustration.</output_format><constraints>Focus on metrics that determine release risk, not just pass/fail counts.</constraints></output>"
write security audit findings template,custom,"<thinking>Security findings must report vulnerability name, CVSS score, description, proof of concept, risk impact, and remediation steps.</thinking> <output><role>Cybersecurity Auditor</role><task>Design a security vulnerability report template.</task><instructions>Include fields for: Finding Title, Severity (Critical/High/Medium/Low), CVSS vector, Affected component, Vulnerability Description, Proof of Concept (PoC) code block, Business Risk Impact, and Remediation Steps.</instructions><output_format>Audit findings section template.</output_format><constraints>Remediation steps must prioritize root-cause code fixes over perimeter mitigations.</constraints></output>"
create technical debt assessment log,custom,"<thinking>Technical debt logs must track debt items, code location, complexity, estimated impact on velocity, and estimated refactoring effort.</thinking> <output><role>Software Architect</role><task>Design a Technical Debt Log template.</task><instructions>Define a markdown table format with columns: ID, Component, Description of Debt, Estimated Impact (High/Medium/Low), Refactor Effort (Sprint points), and Priority ranking.</instructions><output_format>Markdown template with tracking table.</output_format><constraints>Provide instructions on how to calculate the 'velocity impact' objectively.</constraints></output>"
draft vendor evaluation matrix scorecard,custom,"<thinking>Vendor selection scorecards need weightings, scores across security, price, SLA, features, and an overall scoring formula.</thinking> <output><role>IT Procurement Specialist</role><task>Create a vendor evaluation scorecard template.</task><instructions>1. Set categories: Compliance/Security, Features, SLA/Support, Pricing. 2. Assign weights to each category (totaling 100%). 3. Include scoring columns (1-5 scale) and calculated weighted score columns.</instructions><output_format>Markdown table scorecard.</output_format><constraints>The weight calculation formulas must be explicitly explained in text.</constraints></output>"
generate API deprecation notice email,custom,"<thinking>API deprecation notices require advance warnings, migration path examples, sunset dates, and support links.</thinking> <output><role>Developer Relations Engineer</role><context>Deprecating V1 payment endpoints in favor of V2 REST paths.</context><task>Write a developer email notification for API deprecation.</task><instructions>1. State the exact Sunset Date clearly. 2. Provide a migration guide snippet showing V1 vs V2 JSON payload comparison. 3. Detail the backward-compatibility support plan. 4. Maintain a clear, helpful developer-focused tone.</instructions><output_format>Email template layout.</output_format><constraints>Do not hide the timeline. The sunset date must be highlighted near the top.</constraints></output>"
write git commit message guide,custom,"<thinking>Enforce Conventional Commits standard (type(scope): subject, body, footer) for clean git logs and automated versioning.</thinking> <output><role>DevOps Specialist</role><task>Create a Conventional Commits reference guide.</task><instructions>1. Explain the format: type(scope): subject. 2. Define valid types: feat, fix, chore, refactor, test, docs, style. 3. Provide examples of good vs bad commit messages. 4. Explain how breaking changes are marked in the footer.</instructions><output_format>Developer cheat-sheet markdown guide.</output_format><constraints>Align strictly with the Conventional Commits 1.0.0 specification.</constraints></output>"
create a technical writing style guide checklist,custom,"<thinking>Technical writing checklists should focus on active voice, sentence length, terminology consistency, formatting, and reader-first tone.</thinking> <output><role>Principal Technical Writer</role><task>Draft a technical style checklist for engineers writing documentation.</task><instructions>Create checks for: Sentence structure (prefer active voice, limit length), Formatting (correct code block syntax), Terminology (standardize API terms), and Accessibility (alt text for diagrams).</instructions><output_format>Markdown checklist.</output_format><constraints>Limit rules to high-impact improvements. Focus on readability and translation friendliness.</constraints></output>"
generate product roadmap timeline format,custom,"<thinking>Roadmaps should group initiatives by theme (e.g., Growth, Infrastructure) and time horizons (Now, Next, Later) rather than specific dates to prevent project management stress.</thinking> <output><role>Director of Product Management</role><task>Design a high-level strategic roadmap format.</task><instructions>Create a matrix format showing Now, Next, and Later horizons across Product Growth, System Stability, and Developer Tooling pillars. Explain how to prioritize items into each column.</instructions><output_format>Roadmap framework table.</output_format><constraints>Avoid specific calendar dates; focus entirely on strategic horizons.</constraints></output>"
parse csv file in python,code,"<thinking>Python CSV parsing can use csv.reader or pandas. Since no specific dependency is specified, it is best to provide the built-in csv solution for zero dependencies and pandas for data analysis context.</thinking> <output><role>Senior Python Engineer</role><context>Read transaction dataset in a memory-efficient manner.</context><task>Implement a Python function to parse CSV rows.</task><instructions>1. Use the built-in csv module. 2. Handle potential file encoding issues (utf-8 with BOM). 3. Implement error handling for missing files and malformed rows. 4. Provide a streaming generator function to avoid high memory usage for large files.</instructions><output_format>Python file with type hints and usage example.</output_format><constraints>No external libraries allowed in the main solution.</constraints></output>"
implement a rate limiter in go,code,"<thinking>A rate limiter in Go should ideally use the token bucket algorithm. The solution must use standard sync primitives and handle concurrent requests safely.</thinking> <output><role>Principal Go Systems Developer</role><context>Protecting api endpoints from request bursts.</context><task>Write a thread-safe token bucket rate limiter in Go.</task><instructions>1. Avoid sleep loops; calculate token accumulation based on time elapsed since last request. 2. Use sync.Mutex to protect shared state (tokens, lastRefill). 3. Support a dynamic configuration (capacity, refill rate). 4. Provide unit tests with mock time triggers.</instructions><output_format>Complete Go file with package declarations, struct definitions, and main execution verification.</output_format><constraints>Do not use golang.org/x/time/rate; implement the token bucket logic from scratch using basic Go primitives.</constraints></output>"
javascript debounce function,code,<thinking>Debounce limits execution rate of a function until a quiet period has passed. Must handle scoping (this context) and argument passing.</thinking> <output><role>Senior Frontend Engineer</role><context>Optimize browser window resize or input search typing events.</context><task>Implement a debounce function in vanilla JavaScript.</task><instructions>1. Return a wrapper function. 2. Handle timer clearing and resetting. 3. Ensure the original function receives the correct context (this) and arguments. 4. Provide an optional 'immediate' flag to invoke the function at the start of the timeout.</instructions><output_format>Vanilla JavaScript ES6 implementation with use-case examples.</output_format><constraints>Do not use lodash or external dependencies. Must work in modern browser environments.</constraints></output>
validate phone number in javascript,code,"<thinking>Phone number validation requires regular expressions that support international formats (+CountryCode) while avoiding rigid constraints that reject valid inputs.</thinking> <output><role>Full Stack JS Engineer</role><task>Write a JavaScript function to validate E.164 phone formats.</task><instructions>1. Use the E.164 format regex pattern. 2. Provide tests for different countries (+1, +44, +90). 3. Discuss limitations of regex vs libphonenumber library. 4. Return boolean value.</instructions><output_format>Clean JS module with utility functions and test cases.</output_format><constraints>Must not allow arbitrary non-numeric characters beyond spacing and dashes.</constraints></output>"
binary search implementation,code,"<thinking>Binary search works on sorted arrays. Explain pre-requisites (sorting), prevent integer overflow during mid calculation, and state complexity.</thinking> <output><role>Algorithms Specialist</role><task>Implement binary search in Python.</task><instructions>1. Handle array boundary conditions (empty lists, duplicates). 2. Use safe middle index calculation: low + (high - low) // 2 to avoid potential overflow. 3. Analyze time and space complexity. 4. Include interactive test assertions.</instructions><output_format>Python script with detailed docstring and tests.</output_format><constraints>Array must be assumed to be already sorted. Do not use built-in bisect library.</constraints></output>"
explain cognitive dissonance theory,academic,"<thinking>This is a fundamental social psychology concept. I must prompt for formal theory definition, key researchers (Leon Festinger), mechanisms of reduction, and peer-reviewed studies.</thinking> <output><role>Social Psychology Professor</role><task>Write a scholarly overview of Cognitive Dissonance Theory.</task><instructions>1. Introduce Leon Festinger's core hypothesis. 2. Define the cognitive mechanism (inconsistency between beliefs and actions causing discomfort). 3. Detail the 3 primary methods individuals use to reduce dissonance. 4. Cite the classic 1959 experiment ('Cognitive Consequences of Forced Compliance') and summarize its findings. 5. Discuss modern developments in the theory.</instructions><output_format>Structured academic overview with APA format references.</output_format><constraints>Maintain an objective, academic tone. Cite researchers accurately.</constraints></output>"
how to write a literature gap statement,academic,"<thinking>Literature gaps form the core of a research paper's significance. Guide the model to teach structured rhetorical moves (CARS model - Creating a Research Space) and transition terms.</thinking> <output><role>Academic Writing Instructor</role><task>Formulate guide for writing a research gap statement.</task><instructions>1. Explain John Swales' CARS model (specifically Move 2: Establishing a Niche). 2. Identify common types of gaps (empirical, methodological, theoretical). 3. Provide a list of academic transition phrases to signal gaps (e.g., 'However, research has yet to consider...'). 4. Show a before/after example of a weak vs strong gap statement.</instructions><output_format>Technical writing guide with analytical examples.</output_format><constraints>Focus strictly on scholarly writing standards, not blog post intros.</constraints></output>"
define qualitative research triangulation,academic,"<thinking>Triangulation in qualitative study ensures credibility and validity. Explain types: data, investigator, theory, and methodological triangulation.</thinking> <output><role>Research Methodology Specialist</role><task>Explain the concept of triangulation in qualitative research.</task><instructions>1. Define triangulation and its purpose in qualitative design. 2. Detail the four types of triangulation based on Denzin's classification. 3. Discuss how triangulation improves validity and minimizes researcher bias. 4. Address limitations (e.g., increased resource costs, conflicting data resolution).</instructions><output_format>Methodological reference note.</output_format><constraints>Maintain strict methodological terminology. Cite academic research frameworks.</constraints></output>"
explain double-blind study design,academic,"<thinking>Explain clinical study methodology, bias prevention (placebo effect, researcher bias, observer bias), randomization, and ethical/operational limits.</thinking> <output><role>Clinical Trials Methodologist</role><task>Explain the double-blind randomized controlled trial (RCT) design.</task><instructions>1. Define double-blind in contrast to single-blind and open-label designs. 2. Explain how this design mitigates both participant placebo effects and observer bias. 3. Detail the randomization process and the role of independent third-party monitoring. 4. Discuss ethical boundaries where double-blinding is unfeasible.</instructions><output_format>Research design handbook extract.</output_format><constraints>Use standard epidemiological terms (randomization, double-dummy, allocation concealment).</constraints></output>"
